foodname,calories,fat ,salt,carbohydrate,sugar,protein
jeera rice,204,4.7,0.399,36,0.5,6.22
sambar rice,214,4.5,0.018,39,5.1,6.5
dal rice,293,5.8,0.486,48,2.1,13
fish biryani,296,10,0.413,31,3.3,19
mutton biriyani,350,12,0.89,44,1,15
chicken biriyani,292,9.4,0.419,31,3.2,20
beef biriyani,311,17,0.389,19,3.1,20
nasi briyani,321,15,0.0073,43,1.8,4.3
garlic fried rice,279,8.8,0.294,45,0,3.8
chicken fried rice,288,12,0.354,25,1,19
beef fried rice,337,19,0.345,25,1,16
egg fried rice,238,4.1,0.53,45,0.8,5.5
basil fried rice,273,5.6,0.927,45,0.7,9.4
cauliflower fried rice,95,5.03,0.374,7.6,2.4,5.7
brown fried rice,350,18,0.49,40,5,7
pineapple fried rice,5.5,0.55,30,4.3,4.3,3.3
almond fried rice,217,9.6,0.0023,26,1.3,5.2
chiken broccoli fried rice,376,4.6,2.95,53,0,30.4
mushroom fried rice,282,6.5,2.3,50,0,8
mango sticky rice,493,25,0.016,69,42,4.9
cabbage rice,277,8.7,0.0054,45,1.8,6.2
turmeric rice,156,9.9,0.008,15.5,0,1.6
tawa pulao,90,3,0.179,13,0,2
mysore pak,173,12,0.001,17,11,0.8
double ka meetha,337,11,0.247,54,32,6.9
jaggery ,11,0,0.0008,2.9,2.9,0
laddu,211,11,0.0012,24,15,4.2
sooji halwa ,318,13,0.052,46,30,4.9
burfi,92,4.5,0.0018,12,9.4,1.5
bread halwa,341,14,0.247,47,26,7.1
gulab jamun,149,7.3,0.044,20,18,1.9
hallibut,94,1.4,0.07,0,0,19
rasmalai,220,7.7,0.092,33,32,6
basan ladoo,211,11,0.012,24,15,4.2
sausage balls,53,3.5,0.127,3,0.6,2.3
motichoor ladoo,120,5,0.005,19,16,1
sweet somas ,134,0.4,0.048,25,9.5,8.6
adhirasam,488,23,0,67,0,3
rava laddu,1318,23,0.395,23,1.11,3.78
jangiri,103,29.3,0.013,18.6,4,5
bread halwa,341,14,0.247,47,26,7.1
rava laddu,211,11,0.012,24,15,4.2
chocolate vanilla,140,8,0.14,19,16,1
kesari,136,1,0.011,32,25,1
palkova,104,1,0.066,19,7,4
sweet pongal,824,3.6,0.052,37.7,17.7,4.13
karupatti pongal,546,25,0.101,78,27,7
wheat bun,160,25,0.31,27,6,8
wheat halwa,558,3,0.008,72,50,4
kayi ubattu,182,6.5,0,26.3,0,4.4
payasam,131,5.3,0.042,17,13,4.2
milk bun,196,3.9,0.0264,34,7.2,6.1
chocolate milk,208,8.5,0.015,26,24,7.9
mango ice cream,290,15,0.0106,35,32,4.8
butter scotch ice cream,120,5,0.0065,19,14,1
straberry ice cream,253,11,0.079,36,0,4.2
blackcurrent icecream,113,3.4,2.215,19.6,19,1.2
gajar halwa,275,13,0.103,35,30,5.6
beetroot halwa,174,10.7,0.063,16.3,14.6,4.5
rice kheer,263,11,0.083,35,25,8.3
brown bread/ rasmlai,138,8.17,0.0027,15.3,12.32,2.33
banana milk ,105,3,0,27,14,1.3
samak rice kheer,115,2,0.062,19.5,0,4.5
sweet poondi,751,36.8,0.04,94.5,0,11.4
sago pudding,110,3.4,0.076,17,10.7,2.4
jilebi,702,41.2,0.108,70.8,0,10.5
makhane kheer,94,1.5,0.112,12,0,8.1
 aval payasam,381,18,0.0071,46,42,6
semiya payasam,110,2.6,0.0037,18,1.3,4.5
ada pradhaman,453,20.1,0.0073,68.6,56.2,0
thengai payasam,254,15,0.01,29,25,1
dates kheer,222.3,10.5,0.019,27.4,13.9,4.5
dates bar,77,1.61,0.077,15.6,10.2,0.81
nenthra pazham payasam,586,40,0.02,56,51,3
javarisi payasam,240,11,0,32,25,2
amul pista malai kulfi,385,27.7,0,29,22.5,4.7
mango kuli,150,13,0.03,10,9,1
sago ,354,0.05,0.001,87.5,3.25,0.42
sweet paniyaram,90,0.8,0,14,0,0.8
kozhukattai,263,2,0.112,49,10,3
mishti doi sweet yoghurt,179,6,0,27,22.5,4.3
sandesh,707.8,37.68,0.114,60,0,31
modak,153,4.08,0.0028,27.9,11,1.63
mango shrikhand,130,3.5,0.0015,23,21,3
kaju katli,92,4.5,0.00018,12,9.4,1.5
shahi tukda,83,4.8,0.04,8.1,4.6,1.8
firni,352,13,0.115,48,30,12
kulfi,184,7.6,0.104,25,22,4.8
puran poli,298,7.7,0,49,3.4,8.5
besan ladoo,211,11,0.012,24,15,4.2
mawa karanji,135,6.8,0.001,14,0,4.3
rasgulla,120,1.8,0.026,25,25,1.7
falooda kulfi icecream,157,12,0.044,16,8,4
masala milk tea / chai,49.8,0.2,2.86,9.9,8.6,
orange lassi,0,1.2,0,12.4,9.4,1.1
almond apple milkshake,109,2.7,0.334,17.5,0,1.7
black graph juice,64,0,2.3,16,0,0
lemon soda,12,0,2.8,3.1,2.8,0
cinnamon rose tea,0,0,0.02,0,0,0
orange lemon soda,180,0,0.02,47,45,0
venilla milkshake,322,13.4,28.5,33.9,0,8.2
apple chocolate ice ,411,15,0.194,61,55,4
dates milk shake,608,19,0.165,106,92,
white chocolate coffee,359,13,207,47,23,13
turmeric tea ,8,0,0,1,0,0
rose milk lassi,210,3.5,0.1,40,36,7
orange banana smoothie,206,2,150,42.1,0,7.2
apple dates milkshakes,109,2.7,33.4,17.5,0,1.7
sapodila milkshake ,129,4,90,17.3,0,6.3
cookies and cream milkshake,420,11,390,68,65,14
rose tea with milk,214,5,7,41,11,2
anar rose juice,108,0,0,26,25,1
shaejah shake,147,2,23,29,24,4
cold coffee,0,0,2,0,0,0.1
muskmelon milkshake,186,9.7,0,19.1,2.5,5.8
pineapple juice,132,0.9,0,33,25,0.9
watermelon juice,72,0.4,2.4,17.1,14.9,1.5
lemon mint tea,4,0,0,0.5,0.5,0.5
nannari sarbath,265.23,0.35,9.113,65.26,66,0.26
panang kalkandu pal,18,0,0.1,4.6,4.6,0
neer moru,80,0.5,0.44,0,0,19
mosambi soda,132,0.25,32.32,1,0.85,1
amla juice,58,0.1,0,13.7,0,0.5
orange juice,45,0.2,1,10,8,0.7
pomegranate juice,234,3.3,8.4,29,38.6,4.7
cranberry juice,46,0.1,0,12.2,4,0.4
apple juice,46,0.1,4,11,10,0.1
muskmelon juice,80,0.19,0,18.5,0,0.8
lemon juice,22,0.2,0.001,7,2.5,0.4
sugercane  juice,269,0,58,73,73,0
wheatgrass juice,10,0,0,2,2,2
grapefruit juice,42,0.1,0,11,7,0
mango plum,128,0.2,0.013,33,31,0.3
cucumber juice,48,0.8,0.428,9.8,7.3,2.4
kiwi smoothie,245,2.7,0.081,52,43,6.8
strawberry banana smoothie,161,1.7,0.059,34,24,5.5
orange smoothie,198,1.2,0.572,34.3,30,6.1
blueburry smoothie,315,2.1,0.133,61,58,11
apple carrot beet smoothie,144,0.6,0.124,35.7,23.8,2.3
green smoothie,146,0.7,0,34.4,0,1.65
cranberry smoothie,378,5.3,0.202,71,50,17
mix fruit smoothie,144,3,0.326,29,14,2
cashew date shake,132,4.2,0,21,0,2.5
cold cocoa milkshake,170,6.9,0.196,18.1,0,4.9
sitaphal milkshake,260,7.9,0.142,37.5,0,5.6
melon smoothie,240,2,1.643,47.9,40.9,10.2
apple smoothie,109,2.7,0.334,17.5,0,1.7
thai smoothie,429,2.46,0.659,82,26,20
jamun smoothie,16,0,31,3,0,1
nuts milkshake,229,13,0.163,18.1,0,6.3
vanilla milkshake,322,13.4,0.285,33.9,0,8.2
caramel milkshake,560,17,0.48,91,87,15
turmeric milk,255,13,0.383,15.8,0,8.6
almond banana smoothie,151,6.9,0.545,18.2,0,4.4
mango lassi,384,24.8,0.303,28.2,0,12.2
rose lassi,100,2.5,0,15,12.5,2
